Item,Type,Quantity,Calories,Carbohydrate,Fat,Protein
Aloo,Aloo Matar Shorba, 293.3 Gram,219,48g,1g,7g
Aloo,Sara's Aloo Gobhi, 2 cups,155,23g,3g,5g
yogurt,Nonfat yogurt, 1 cup,80,14g,0g,5g
yogurt,carb yogurt, 1 cup,60,4g,2g,8g
yogurt,Yogurt tube, 60 g,50,8g,2g,2g
chicken,Grilled chicken, 4 oz,100,1g,2g,22g
chicken,Chicken, 1 cup,135,0g,8g,14g
chicken,Chicken tenderloin, 1 piece,100,0g,1g,22g
bell pepper,Bell Pepper, 148 g,32,8g,0g,1g
bell pepper,Bell Pepper, 114 grams,32,8g,0g,1g
gravy,Gravy, 0.5 cup,50,6g,2g,2g
gravy,Gravy, 1 cup,181,11g,10g,11g
gravy,Gravy, 2 oz serving,46,4g,3g,0g
mustard,French Mustard, 1 tsp,0,0g,0g,0g
mustard,Mustard hiềnnb, 10 g,8,0g,0g,1g
Ridge gourd,Ridge Gourd, 100 g,92,0g,0g,0g
Ridge gourd,Generic, 1 cup,55,2g,1g,0g
Ridge gourd,Homemade, 1 tbs,60,8g,2g,1g
Urad dal,Veer Urad Dal, 100 gm,270,40g,3g,20g
Urad dal,Urad Dal Cooked, 0.5 Cup Cooked,235,33g,5g,14g
Urad dal,Aligarh, 1 Cup Cooked,350,50g,7g,19g
tamarind,Tamarind, 100 g,279,38g,0g,3g
tamarind,Sweet Tamarind, 100 g,314,76g,0g,3g
tamarind,Tamarind, 1 tbsp (15g),40,10g,0g,0g
Maida,maida, 100 gram,357,74g,1g,11g
Maida,ponam maida, 100 gm,361,73g,2g,12g
Maida,Madam, 100 grams,404,87g,1g,12g
Refined flour,Kanan Maida, 125 g,455,95g,1g,13g
Refined flour,Generic, 100 g,348,0g,1g,11g
olive oil,Olive oil, 1 tbsp,120,0g,14g,0g
olive oil,Lucini olive oil, 1 tbsp,120,0g,14g,0g
methi leaves,Deep, 0.5 cup,35,5g,1g,3g
methi leaves,Organic, 100 gm,49,6g,1g,4g
methi leaves,Methi (Fenugreek) Leaves - Meetu, 100 gm,49,6g,1g,4g
powdered sugar,Powdered Sugar, 1 tablespoon,31,8g,0g,0g
powdered sugar,Parkhurst, 1 Tbs,54,14g,0g,0g
powdered sugar,PR powdered sugar, 0.25 cup,120,0g,0g,0g
Sticky rice,Sticky, 1 cup,169,37g,0g,4g
Sticky rice,Rice, 1 cup,169,37g,0g,4g
Sticky rice,Sticky Rice, 0.5 cup,170,40g,0g,3g
turmeric,organic turmeric, 1 tsp (9g),8,1g,0g,0g
turmeric,Turmeric, 2 ounces,70,14g,2g,1g
turmeric,Food to Live Turmeric, 1 oz / 28 grams,99,18g,3g,2g
lentil flour,McKenzies, 50 g,166,22g,1g,13g
lentil flour,Homemade, 0.25 cup,20,4g,0g,2g
lentil flour,Red lentil flour, 101 g,304,46g,1g,24g
sev,Sev, 1 cup,250,17g,19g,7g
sev,Regular Sev, 1 tbsp,180,10g,14g,4g
sev,Bhel sev, 0.5 cup,549,32g,46g,14g
fennel,Fennel, 100 g,31,7g,0g,1g
fennel,Fennel Homemade, 100 g,12,2g,0g,1g
fennel,Fennel (Website), 1 cup,27,6g,0g,1g
black pepper,1 tbsp, ground,251,64g,3g,10g
black pepper,1 tsp, ground,251,64g,3g,10g
black pepper,Wegmans Black Pepper Sauce, 2 tablespoons,25,4g,2g,0g
white flour,Flour, 1 tbsp,28,6g,0g,1g
white flour,White Flour 1 Tbsp, 1 tbsp,28,6g,0g,1g
Green chili paste,chili paste, 100 gram,686,16g,67g,4g
Green chili paste,Shahzada, 1 tbsp,20,5g,0g,0g
Green chili paste,zaika, 1 tablespoon,17,3g,1g,1g
Rava,Rava Payasam/kheer, 1 bowl,350,13g,4g,10g
Rava,Rava, 1 cup,360,73g,1g,13g
Rava,Mtr, 1 piece,80,21g,7g,3g
fry,Small fry, 2 ounces,230,29g,11g,3g
fry,Fry Sauce, 1 oz,90,8g,6g,0g
fry,Culiflower Fry, 1 cup,100,0g,10g,0g
bhuna chana,Bhuna chana, 400 grams,161,27g,3g,9g
bhuna chana,Sb Bhuna Chana, 1 serving / 30gm,108,18g,2g,5g
bhuna chana,Bhuna Hua, 50 g,200,0g,0g,0g
curry leaves,Desi, 100 g,108,19g,1g,6g
curry leaves,Generic, 1 cup coocked,225,0g,0g,0g
curry leaves,Shabros, 100 gram,140,75g,8g,8g
Potato,Potato, 1 medium,110,26g,0g,3g
Potato,Idaho Potato, 5.3 oz,110,26g,0g,3g
Moong dal,Moong dal, 100 gram,343,63g,1g,24g
Moong dal,Moong Dal Chilla, 1 pancake,100,10g,4g,6g
Moong dal,Moong Dal Palak, 1 Cup Cooked,111,16g,3g,6g
Green moong beans,Swad, 0.25 cup (dry) 45g,160,27g,1g,11g
Green moong beans,Dunya, 35 gram,120,22g,0g,8g
Green moong beans,Ankur, 7.25 oz,718,23g,2g,49g
Peanuts,Virginia peanuts, 1 ounce,160,6g,13g,7g
Peanuts,Peanuts, 1 pack,70,2g,6g,3g
Palak,Palak Chicken, 147.7 gram,208,8g,8g,26g
Palak,Homemade Palak Paratha, 57 g,196,32g,5g,5g
Palak,Moong Dal Palak, 1 Cup Cooked,111,16g,3g,6g
sunflower oil,sunflower oil, 50 ml,414,0g,46g,0g
sunflower oil,Natura Sunflower Oil, 13 ml,108,0g,12g,0g
sunflower oil,sunflower oil, 1 table spoon 15ml,120,0g,14g,0g
skinless chicken breasts,Walmart Skinless Chicken Breasts, 4 oz,100,0g,1g,23g
skinless chicken breasts,Festival Chicken Breasts, 113 g,130,0g,3g,24g
skinless chicken breasts,chicken breasts, 1 breast,130,0g,0g,0g
Red pepper,Red Pepper, 100 g,31,6g,0g,1g
Red pepper,Fresh Red Pepper, 1 oz or 28g,31,4g,0g,1g
kokum,Raj kokum syrup, 1000 ml,241,57g,1g,0g
kokum,kvl, 5 gram,0,0g,0g,0g
kokum,Raj, 500 ml,241,57g,1g,0g
malai,Malai Kabab, 311 g,654,8g,47g,47g
malai,Malai Burfi, 1 cup,249,34g,10g,10g
malai,Malai Selgros, 100 gram,347,0g,1g,7g
Green beans,Green Beans, 0.25 can,50,8g,2g,2g
Green beans,Green beans Walmart, 1 cup,30,6g,0g,1g
sooji,sooji fine, 100 gram,391,20g,1g,3g
sooji,Shraddha Sooji, 100 gram,392,322g,9g,65g
sooji,Elite Sooji Rusk, 100 g,499,64g,12g,11g
cream,Cream corn, 125 grams,60,14g,0g,0g
cream,Cream, 100 ml,129,66g,10g,1g
green chillies,Tesco, 5 g,3,1g,0g,0g
green chillies,Green Chillies, 100 g,107,0g,0g,0g
green chillies,Asda, 50 g,10,0g,0g,2g
cardamom powder,Snapin, 2 g,8,2g,0g,0g
cardamom powder,Nb, 1 tbsn,250,80g,5g,0g
cardamom powder,Homemade, 1 cup,0,0g,0g,0g
